Placa,Tipo,Servicio,Ubicacion_Inscripcion
GTM071,Carro,Particular,ENVIGADO
IQF66V,Moto,Motocicleta,COLOMBIA
CIH339,Carro,Oficial,BUCARAMANGA
WIE132,Carro,Particular,CALI
TKP364,Carro,Particular,PEREIRA
AJM351,Carro,Publico,IBAGUE
NZI648,Carro,Oficial,IBAGUE
TBQ58Z,Moto,Motocicleta,COLOMBIA
PHJ268,Carro,Oficial,CUCUTA
QTE00R,Moto,Motocicleta,COLOMBIA
SHM11U,Moto,Motocicleta,COLOMBIA
HHB55B,Moto,Motocicleta,COLOMBIA
FJB73T,Moto,Motocicleta,COLOMBIA
LYI797,Carro,Particular,MEDELLIN
PVP336,Carro,Particular,CUCUTA
SDR496,Carro,Particular,BUCARAMANGA
YHM87H,Moto,Motocicleta,COLOMBIA
RID27X,Moto,Motocicleta,COLOMBIA
IFH613,Carro,Publico,MEDELLIN
IED336,Carro,Publico,IBAGUE
DQT37R,Moto,Motocicleta,COLOMBIA
JIN56I,Moto,Motocicleta,COLOMBIA
SMY751,Carro,Oficial,CALI
VSF17Q,Moto,Motocicleta,COLOMBIA
XBM08R,Moto,Motocicleta,COLOMBIA
JGY38Y,Moto,Motocicleta,COLOMBIA
UHN707,Carro,Particular,PASTO
JWU598,Carro,Particular,MANIZALES
GXD912,Carro,Publico,IBAGUE
QVY89E,Moto,Motocicleta,COLOMBIA
UHN324,Carro,Publico,PEREIRA
VHD05N,Moto,Motocicleta,COLOMBIA
IVP257,Carro,Particular,IBAGUE
UDZ31T,Moto,Motocicleta,COLOMBIA
TMC64V,Moto,Motocicleta,COLOMBIA
MSU509,Carro,Oficial,IBAGUE
ECK142,Carro,Publico,BOGOTA D.C.
FIX70I,Moto,Motocicleta,COLOMBIA
FGH70H,Moto,Motocicleta,COLOMBIA
HPQ10Z,Moto,Motocicleta,COLOMBIA
NCZ28Y,Moto,Motocicleta,COLOMBIA
CEF23M,Moto,Motocicleta,COLOMBIA
LWE100,Carro,Publico,ENVIGADO
JVG91F,Moto,Motocicleta,COLOMBIA
VJJ36E,Moto,Motocicleta,COLOMBIA
DLX84Z,Moto,Motocicleta,COLOMBIA
EDS714,Carro,Publico,PASTO
FCU18H,Moto,Motocicleta,COLOMBIA
PTA383,Carro,Particular,ENVIGADO
HUZ985,Carro,Publico,CALI
KUI37M,Moto,Motocicleta,COLOMBIA
MXE431,Carro,Oficial,BOGOTA D.C.
EGB19B,Moto,Motocicleta,COLOMBIA
XCN62F,Moto,Motocicleta,COLOMBIA
UZI516,Carro,Publico,ENVIGADO
ESA197,Carro,Particular,MEDELLIN
YKX76Z,Moto,Motocicleta,COLOMBIA
JSS95N,Moto,Motocicleta,COLOMBIA
MEJ727,Carro,Publico,TUNJA
NTB95N,Moto,Motocicleta,COLOMBIA
TDR69V,Moto,Motocicleta,COLOMBIA
FLJ829,Carro,Publico,IBAGUE
DYH498,Carro,Publico,PASTO
NMN71V,Moto,Motocicleta,COLOMBIA
SRJ388,Carro,Particular,ENVIGADO
DUG68L,Moto,Motocicleta,COLOMBIA
IAV87M,Moto,Motocicleta,COLOMBIA
CCP493,Carro,Oficial,IBAGUE
TYX70F,Moto,Motocicleta,COLOMBIA
HCE968,Carro,Oficial,PASTO
JCZ75X,Moto,Motocicleta,COLOMBIA
KPH27B,Moto,Motocicleta,COLOMBIA
ADG53J,Moto,Motocicleta,COLOMBIA
VUZ63H,Moto,Motocicleta,COLOMBIA
FFE495,Carro,Particular,BOGOTA D.C.
XAF93N,Moto,Motocicleta,COLOMBIA
CPI20G,Moto,Motocicleta,COLOMBIA
QIX53N,Moto,Motocicleta,COLOMBIA
XEW34B,Moto,Motocicleta,COLOMBIA
KCX16C,Moto,Motocicleta,COLOMBIA
QEU55V,Moto,Motocicleta,COLOMBIA
MGE38X,Moto,Motocicleta,COLOMBIA
IKM70P,Moto,Motocicleta,COLOMBIA
QVF92T,Moto,Motocicleta,COLOMBIA
WIQ77K,Moto,Motocicleta,COLOMBIA
AXC25A,Moto,Motocicleta,COLOMBIA
PYY94V,Moto,Motocicleta,COLOMBIA
UJH54X,Moto,Motocicleta,COLOMBIA
LCB34L,Moto,Motocicleta,COLOMBIA
ZGW48G,Moto,Motocicleta,COLOMBIA
UYV20U,Moto,Motocicleta,COLOMBIA
YRZ62V,Moto,Motocicleta,COLOMBIA
UTC081,Carro,Oficial,TUNJA
LZJ388,Carro,Particular,PASTO
CHJ72C,Moto,Motocicleta,COLOMBIA
EEW066,Carro,Particular,IBAGUE
ZXV634,Carro,Particular,PEREIRA
XGR05Z,Moto,Motocicleta,COLOMBIA
YRX62U,Moto,Motocicleta,COLOMBIA
BAT146,Carro,Oficial,BOGOTA D.C.
JNY51Z,Moto,Motocicleta,COLOMBIA
AZR09N,Moto,Motocicleta,COLOMBIA
RXT892,Carro,Particular,CUCUTA
BRX35Q,Moto,Motocicleta,COLOMBIA
GXL414,Carro,Particular,PASTO
AYU30E,Moto,Motocicleta,COLOMBIA
JAE06X,Moto,Motocicleta,COLOMBIA
ATQ995,Carro,Oficial,CUCUTA
LIW567,Carro,Publico,BOGOTA D.C.
KZJ27Y,Moto,Motocicleta,COLOMBIA
XGU539,Carro,Particular,PEREIRA
LIC55Y,Moto,Motocicleta,COLOMBIA
LZB42P,Moto,Motocicleta,COLOMBIA
IDX980,Carro,Publico,MANIZALES
WYW259,Carro,Publico,TUNJA
TNR916,Carro,Particular,PASTO
SSE007,Carro,Oficial,MEDELLIN
KHB31I,Moto,Motocicleta,COLOMBIA
NLH08J,Moto,Motocicleta,COLOMBIA
ZEB29Q,Moto,Motocicleta,COLOMBIA
HFQ415,Carro,Particular,PEREIRA
CEZ83G,Moto,Motocicleta,COLOMBIA
PXY56W,Moto,Motocicleta,COLOMBIA
JEH604,Carro,Publico,BARRANQUILLA
KYB10Y,Moto,Motocicleta,COLOMBIA
SVU82H,Moto,Motocicleta,COLOMBIA
HMC66H,Moto,Motocicleta,COLOMBIA
KMR712,Carro,Oficial,BUCARAMANGA
IXP25Y,Moto,Motocicleta,COLOMBIA
RPA86C,Moto,Motocicleta,COLOMBIA
KEJ997,Carro,Oficial,BUCARAMANGA
LMW700,Carro,Particular,BARRANQUILLA
LGE33Q,Moto,Motocicleta,COLOMBIA
CNS142,Carro,Publico,CALI
WFE431,Carro,Particular,MEDELLIN
CZW15K,Moto,Motocicleta,COLOMBIA
IDI046,Carro,Particular,CALI
WSG502,Carro,Oficial,MANIZALES
BUX14J,Moto,Motocicleta,COLOMBIA
LJY253,Carro,Publico,IBAGUE
CMF39G,Moto,Motocicleta,COLOMBIA
BUV92E,Moto,Motocicleta,COLOMBIA
SPT739,Carro,Particular,PEREIRA
NIU54Q,Moto,Motocicleta,COLOMBIA
WQH846,Carro,Publico,MEDELLIN
JND162,Carro,Particular,MEDELLIN
HCD24V,Moto,Motocicleta,COLOMBIA
NRJ187,Carro,Oficial,BARRANQUILLA
TTI62G,Moto,Motocicleta,COLOMBIA
MWB648,Carro,Oficial,BARRANQUILLA
PUH91H,Moto,Motocicleta,COLOMBIA
HPJ21S,Moto,Motocicleta,COLOMBIA
NMX55Z,Moto,Motocicleta,COLOMBIA
FAX52W,Moto,Motocicleta,COLOMBIA
YHH579,Carro,Publico,PASTO
NDC366,Carro,Publico,BUCARAMANGA
TPK022,Carro,Oficial,ENVIGADO
HYA47V,Moto,Motocicleta,COLOMBIA
DRN416,Carro,Oficial,MANIZALES
SWY976,Carro,Oficial,ENVIGADO
UBE921,Carro,Oficial,ENVIGADO
MLQ401,Carro,Particular,BOGOTA D.C.
ECZ063,Carro,Publico,TUNJA
RBL929,Carro,Publico,BUCARAMANGA
CWL106,Carro,Publico,PEREIRA
JUE50E,Moto,Motocicleta,COLOMBIA
RJR09H,Moto,Motocicleta,COLOMBIA
YSN68H,Moto,Motocicleta,COLOMBIA
IFZ04H,Moto,Motocicleta,COLOMBIA
ELM636,Carro,Publico,TUNJA
QWY297,Carro,Particular,CALI
EIA13K,Moto,Motocicleta,COLOMBIA
VUE153,Carro,Oficial,MANIZALES
FTU47R,Moto,Motocicleta,COLOMBIA
WJK532,Carro,Particular,IBAGUE
WSK93G,Moto,Motocicleta,COLOMBIA
NFU307,Carro,Particular,IBAGUE
QKS25S,Moto,Motocicleta,COLOMBIA
NNW99E,Moto,Motocicleta,COLOMBIA
UDE41Y,Moto,Motocicleta,COLOMBIA
AWJ75L,Moto,Motocicleta,COLOMBIA
RLJ16V,Moto,Motocicleta,COLOMBIA
IGE484,Carro,Publico,CALI
RXV544,Carro,Publico,ENVIGADO
VBU609,Carro,Publico,BOGOTA D.C.
NVS139,Carro,Particular,ENVIGADO
YYE087,Carro,Oficial,PEREIRA
TWD77F,Moto,Motocicleta,COLOMBIA
HXL123,Carro,Oficial,IBAGUE
ZBA87G,Moto,Motocicleta,COLOMBIA
LAE79W,Moto,Motocicleta,COLOMBIA
GKU95G,Moto,Motocicleta,COLOMBIA
CHI367,Carro,Oficial,ENVIGADO
WPE829,Carro,Publico,BARRANQUILLA
AZN188,Carro,Oficial,CALI
HXT62I,Moto,Motocicleta,COLOMBIA
RRT04C,Moto,Motocicleta,COLOMBIA
CRW88L,Moto,Motocicleta,COLOMBIA
AKI04P,Moto,Motocicleta,COLOMBIA
QMT850,Carro,Oficial,MEDELLIN
JGG90J,Moto,Motocicleta,COLOMBIA
CCX97A,Moto,Motocicleta,COLOMBIA
